globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl
1133182689,20231006,202310,2023,2023.7562,PHL,PHILIPPINE,PHL,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,0,036,036,03,1,4.0,2,1,2,-2.17983651226158,4,"Binmaley, Pangasinan, Philippines",RP,RP51,16.0307,120.271,-2414380,4,"Tel Aviv, Tel Aviv, Israel",IS,IS05,32.0667,34.7667,-781545,4,"Tel Aviv, Tel Aviv, Israel",IS,IS05,32.0667,34.7667,-781545,20231013,https://www.manilatimes.net/2023/10/14/news/national/marcos-wants-strong-plans-to-bring-home-israel-ofws/1914660
1133188744,20231013,202310,2023,2023.7753,GOV,PRIME MINISTER,,,,,,GOV,,,LEG,REPRESENTATIVES,,,,,,LEG,,,0,040,040,04,1,1.0,3,1,3,1.74672489082969,4,"Kashmir, North-West Frontier, Pakistan",PK,PK03,34.796,72.1502,-2764806,4,"Kashmir, North-West Frontier, Pakistan",PK,PK03,34.796,72.1502,-2764806,4,"Kashmir, North-West Frontier, Pakistan",PK,PK03,34.796,72.1502,-2764806,20231013,https://www.radio.gov.pk/13-10-2023/organization-of-islamic-cooperation-assures-its-support-for-kashmir-cause
1133189386,20231013,202310,2023,2023.7753,PSE,PALESTINIAN,PSE,,,,,,,,MED,JOURNALIST,,,,,,MED,,,0,010,010,01,1,0.0,2,1,2,-8.45360824742268,4,"Pretoria, Gauteng, South Africa",SF,SF06,-25.7069,28.2294,-1273769,4,"Pretoria, Gauteng, South Africa",SF,SF06,-25.7069,28.2294,-1273769,4,"Pretoria, Gauteng, South Africa",SF,SF06,-25.7069,28.2294,-1273769,20231013,https://www.theeastafrican.co.ke/tea/rest-of-africa/s-africa-confirms-2-nationals-killed-in-israeli-hamas-war-4400062
1133248149,20231013,202310,2023,2023.7753,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,1,0874,087,08,2,10.0,2,1,2,0.48426150121066,4,"Buhari, Kano, Nigeria",NI,NI29,11.4148,8.25082,-2008713,0,,,,,,,4,"Buhari, Kano, Nigeria",NI,NI29,11.4148,8.25082,-2008713,20231013,https://www.tekedia.com/tinubu-pulls-fcta-out-of-tsa-nigerian-lawyers-describe-it-as-illegal/
1133263412,20231014,202310,2023,2023.7781,PSE,PALESTINIAN,PSE,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,0,195,195,19,4,-10.0,1,1,1,-5.02283105022831,4,"Ashdod, HaDarom, Israel",IS,IS01,31.7444,34.6809,-779676,4,"Ashdod, HaDarom, Israel",IS,IS01,31.7444,34.6809,-779676,4,"Ashdod, HaDarom, Israel",IS,IS01,31.7444,34.6809,-779676,20231014,https://www.philstar.com/the-freeman/cebu-news/2023/10/13/2303326/uniformed-personnel-asked-be-alert-cebu-against-terrorism-
1133275510,20231014,202310,2023,2023.7781,PSE,PALESTINIAN,PSE,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,120,120,12,3,-4.0,4,2,4,-3.74819093721928,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20231014,https://www.mercurynews.com/2023/10/13/letters-1452/
1133279055,20231014,202310,2023,2023.7781,GOV,GOVERNMENT OFFICIAL,,,,,,GOV,,,,,,,,,,,,,1,026,026,02,1,4.0,20,1,20,1.74563591022444,5,"Uttar Pradesh, Uttar Pradesh, India",IN,IN36,27.25,80.75,-2113996,0,,,,,,,5,"Uttar Pradesh, Uttar Pradesh, India",IN,IN36,27.25,80.75,-2113996,20231014,https://www.telegraphindia.com/india/prime-minister-narendra-modis-inauguration-hint-in-ayodhya-call-to-vips/cid/1973216
1133294455,20231014,202310,2023,2023.7781,JUD,PROSECUTOR,,,,,,JUD,,,COPCOP,DEPUTY,,,,,,COP,COP,,1,010,010,01,1,0.0,1,1,1,-5.7742782152231,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,20231014,https://www.wfmd.com/2023/10/13/carroll-county-sheriffs-deputy-cleared-of-corruption-allegations/
1133295805,20231014,202310,2023,2023.7781,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,4,1,4,-3.5008752188047,3,"Greystone Mansion, California, United States",US,USCA,34.092,-118.401,1693234,0,,,,,,,2,"California, United States",US,USCA,36.17,-119.746,CA,20231014,https://www.newscenter1.tv/lifestyle/can-you-guess-which-deadwood-location-was-named-in-the-25-most-haunted-places-in/collection_4cd6e09e-91c1-5e18-8728-f7912cef1bf4.html
1133309502,20231014,202310,2023,2023.7781,CHN,CHINA,CHN,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,020,020,02,1,3.0,260,64,260,-5.72257065213052,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20231014,https://news.yahoo.com/live-updates-day-8-latest-062938645.html
